#ID	length	GC	coverage	S_2mer	S_3mer	S_4mer
k141_260	343	64.140	2.59	0.961	0.938	0.882
k141_257	343	69.971	1.73	0.922	0.904	0.855
k141_156	343	67.055	2.76	0.946	0.921	0.870
k141_671	342	63.450	2.16	0.967	0.942	0.889
k141_445	342	67.251	1.90	0.943	0.920	0.864
k141_426	342	67.544	1.76	0.939	0.910	0.854
k141_586	341	45.161	1.87	0.987	0.972	0.910
k141_282	341	62.463	2.56	0.964	0.941	0.884
k141_136	341	66.276	2.05	0.950	0.927	0.866
k141_118	341	60.411	2.39	0.966	0.934	0.875
k141_653	340	63.824	2.57	0.964	0.937	0.881
k141_436	340	54.118	1.81	0.987	0.971	0.914
k141_273	340	62.353	2.72	0.962	0.940	0.884
k141_174	340	62.353	3.31	0.962	0.938	0.883
k141_153	340	61.176	1.92	0.962	0.934	0.878
k141_148	340	64.118	2.51	0.958	0.931	0.882
k141_124	340	61.765	1.97	0.964	0.939	0.880
k141_738	339	59.882	2.46	0.979	0.966	0.909
k141_6	339	52.212	1.78	0.990	0.973	0.914
k141_423	339	58.407	2.20	0.982	0.957	0.903
k141_410	339	62.242	3.38	0.950	0.914	0.860
k141_248	339	70.501	2.11	0.923	0.894	0.846
k141_752	338	58.876	2.81	0.981	0.960	0.900
k141_731	338	65.680	1.36	0.949	0.926	0.861
k141_522	338	67.456	1.90	0.938	0.918	0.869
k141_487	338	67.160	1.82	0.945	0.919	0.862
k141_249	338	71.302	2.26	0.903	0.872	0.824
k141_106	338	63.314	1.33	0.961	0.944	0.881
k141_742	337	67.359	1.77	0.940	0.918	0.870
k141_640	337	65.579	1.24	0.946	0.925	0.870
k141_482	337	65.875	2.57	0.948	0.932	0.882
k141_451	337	65.875	1.63	0.941	0.920	0.865
k141_407	337	67.062	2.64	0.934	0.900	0.845
k141_220	337	71.217	2.46	0.927	0.912	0.858
k141_190	337	70.623	1.89	0.927	0.909	0.858
k141_107	337	70.920	3.04	0.924	0.897	0.846
k141_589	336	63.690	1.57	0.952	0.933	0.886
k141_485	336	60.714	4.35	0.967	0.944	0.884
k141_430	336	63.690	4.63	0.961	0.936	0.876
k141_375	336	64.583	3.61	0.956	0.923	0.869
k141_34	336	54.762	2.26	0.986	0.965	0.908
k141_189	336	66.369	2.44	0.953	0.932	0.873
k141_1	336	69.048	3.13	0.922	0.901	0.854
k141_776	335	59.104	3.37	0.955	0.927	0.874
k141_765	335	67.164	3.12	0.939	0.916	0.861
k141_629	335	69.254	1.80	0.932	0.909	0.855
k141_627	335	59.403	1.76	0.973	0.956	0.898
k141_621	335	62.985	2.24	0.962	0.938	0.882
k141_583	335	64.478	3.84	0.956	0.938	0.886
k141_21	335	65.075	6.01	0.919	0.892	0.834
k141_91	334	63.174	1.79	0.970	0.945	0.893
k141_769	334	62.275	2.85	0.965	0.940	0.883
k141_508	334	64.970	2.04	0.942	0.921	0.867
k141_356	334	64.671	2.22	0.946	0.911	0.851
k141_346	334	65.868	1.94	0.954	0.924	0.878
k141_74	333	58.258	2.22	0.973	0.952	0.895
k141_676	333	77.177	1.76	0.864	0.842	0.789
k141_581	333	59.459	2.77	0.967	0.943	0.887
k141_573	333	66.366	1.81	0.942	0.912	0.856
k141_552	333	69.970	2.20	0.925	0.897	0.850
k141_185	333	65.766	3.70	0.955	0.931	0.869
k141_97	332	68.373	5.23	0.916	0.886	0.832
k141_75	332	63.554	3.08	0.958	0.940	0.887
k141_598	332	64.458	2.67	0.955	0.932	0.881
k141_524	332	64.458	3.69	0.955	0.934	0.885
k141_518	332	60.542	2.23	0.969	0.950	0.898
k141_43	332	70.181	2.40	0.912	0.893	0.846
k141_385	332	73.193	1.88	0.894	0.862	0.808
k141_333	332	53.916	1.72	0.985	0.962	0.900
k141_186	332	52.108	2.67	0.970	0.952	0.891
k141_761	331	70.997	2.18	0.917	0.890	0.838
k141_447	331	66.163	7.08	0.943	0.917	0.865
k141_425	331	67.372	3.07	0.939	0.917	0.871
k141_280	331	55.589	2.29	0.979	0.955	0.905
k141_95	330	58.485	2.58	0.978	0.965	0.911
k141_711	330	57.273	2.66	0.985	0.960	0.899
k141_70	330	69.697	1.94	0.924	0.907	0.856
k141_62	330	69.091	2.33	0.930	0.909	0.856
k141_499	330	65.455	1.95	0.951	0.927	0.877
k141_463	330	69.697	1.62	0.925	0.906	0.852
k141_399	330	59.091	2.13	0.980	0.963	0.899
k141_20	330	68.182	1.71	0.927	0.889	0.837
k141_8	329	63.830	1.73	0.958	0.936	0.884
k141_709	329	67.173	4.43	0.944	0.923	0.872
k141_461	329	61.398	2.76	0.967	0.935	0.877
k141_431	329	66.261	3.15	0.945	0.915	0.856
k141_317	329	68.997	1.94	0.923	0.899	0.850
k141_274	329	71.125	1.42	0.907	0.877	0.833
k141_677	328	61.890	2.70	0.961	0.936	0.878
k141_462	328	58.232	2.19	0.978	0.961	0.898
k141_417	328	67.073	4.91	0.946	0.918	0.861
k141_218	328	65.854	10.61	0.950	0.926	0.866
k141_77	327	63.914	2.29	0.960	0.933	0.878
k141_608	327	64.220	1.56	0.948	0.921	0.863
k141_334	327	54.740	2.14	0.985	0.967	0.908
k141_254	327	66.972	1.83	0.944	0.918	0.863
k141_105	327	67.278	1.90	0.940	0.911	0.855
k141_778	326	60.429	2.71	0.966	0.941	0.891
k141_652	326	63.804	1.83	0.960	0.937	0.879
k141_605	326	64.724	2.91	0.952	0.929	0.881
k141_0	326	62.883	7.10	0.958	0.931	0.870
k141_745	325	71.692	2.82	0.912	0.889	0.838
k141_703	325	56.615	5.36	0.982	0.959	0.896
k141_602	325	64.615	2.46	0.956	0.929	0.869
k141_60	325	66.769	2.23	0.941	0.916	0.863
k141_481	325	60.615	1.86	0.974	0.956	0.904
k141_247	325	64.308	1.83	0.956	0.934	0.881
k141_72	324	64.815	2.44	0.958	0.933	0.872
k141_655	324	60.802	2.19	0.977	0.953	0.887
k141_551	324	61.728	2.61	0.954	0.930	0.876
k141_509	324	61.728	2.31	0.953	0.922	0.867
k141_325	324	65.741	2.22	0.956	0.934	0.869
k141_674	323	65.944	2.20	0.950	0.919	0.857
k141_563	323	62.848	3.87	0.958	0.930	0.864
k141_420	323	64.706	1.85	0.953	0.925	0.865
k141_413	323	64.706	2.34	0.943	0.916	0.864
k141_198	323	66.254	2.58	0.947	0.921	0.862
k141_110	323	73.065	2.82	0.906	0.883	0.840
k141_756	322	68.944	2.89	0.914	0.891	0.837
k141_729	322	74.534	2.56	0.891	0.863	0.813
k141_65	322	54.969	2.07	0.983	0.959	0.900
k141_632	322	65.528	3.38	0.934	0.907	0.838
k141_398	322	63.975	2.56	0.953	0.940	0.882
k141_352	322	68.323	2.48	0.934	0.903	0.846
k141_164	322	67.702	1.68	0.938	0.913	0.854
k141_152	322	69.565	2.94	0.925	0.905	0.855
k141_82	321	63.551	1.88	0.952	0.927	0.868
k141_705	321	65.109	2.33	0.942	0.923	0.875
k141_48	321	45.483	1.81	0.981	0.961	0.903
k141_394	321	65.421	2.44	0.949	0.929	0.880
k141_690	320	62.500	2.11	0.966	0.947	0.896
k141_549	320	68.438	1.89	0.934	0.904	0.854
k141_418	320	60.625	1.85	0.964	0.926	0.864
k141_322	320	66.875	2.77	0.938	0.912	0.856
k141_321	320	56.562	1.88	0.977	0.955	0.906
k141_762	319	63.009	3.34	0.955	0.935	0.884
k141_733	319	56.740	2.35	0.988	0.965	0.902
k141_558	319	68.966	2.63	0.931	0.897	0.842
k141_500	319	67.085	4.04	0.934	0.895	0.828
k141_408	319	64.577	2.07	0.965	0.945	0.891
k141_401	319	48.589	5.77	0.983	0.964	0.900
k141_292	319	68.966	1.87	0.926	0.902	0.850
k141_93	318	67.925	2.79	0.930	0.900	0.853
k141_785	318	76.415	0.84	0.862	0.806	0.698
k141_63	318	74.528	1.42	0.891	0.871	0.826
k141_516	318	70.440	2.42	0.931	0.903	0.853
k141_318	318	66.352	3.42	0.942	0.922	0.871
k141_287	318	65.409	2.45	0.956	0.928	0.869
k141_277	318	59.748	2.71	0.977	0.958	0.901
k141_209	318	57.862	2.48	0.985	0.962	0.908
k141_149	318	65.409	1.73	0.931	0.905	0.854
k141_747	317	64.669	1.67	0.930	0.892	0.836
k141_453	317	73.186	2.09	0.898	0.862	0.810
k141_302	317	64.353	2.27	0.957	0.923	0.857
k141_555	316	64.557	2.87	0.952	0.937	0.885
k141_403	316	64.557	2.50	0.953	0.923	0.861
k141_337	316	62.658	1.81	0.966	0.947	0.885
k141_215	316	67.089	4.16	0.935	0.909	0.853
k141_732	315	82.540	2.87	0.812	0.798	0.758
k141_661	315	66.349	2.37	0.947	0.926	0.871
k141_614	315	66.032	1.75	0.952	0.929	0.887
k141_415	315	67.302	1.75	0.928	0.900	0.845
k141_342	315	61.905	2.12	0.958	0.936	0.882
k141_243	315	64.127	1.98	0.963	0.938	0.870
k141_240	315	66.349	2.48	0.935	0.906	0.851
k141_233	315	64.762	2.27	0.965	0.944	0.882
k141_214	315	65.079	1.42	0.960	0.943	0.890
k141_211	315	67.302	0.95	0.943	0.915	0.861
k141_623	314	48.089	1.44	0.986	0.963	0.906
k141_429	314	66.879	2.02	0.936	0.907	0.849
k141_241	314	67.197	1.65	0.929	0.908	0.861
k141_94	313	63.578	3.21	0.957	0.937	0.875
k141_78	313	61.661	3.11	0.967	0.946	0.885
k141_743	313	70.927	3.55	0.925	0.893	0.829
k141_456	313	65.815	1.60	0.952	0.933	0.872
k141_367	313	65.495	2.35	0.941	0.923	0.872
k141_324	313	62.620	1.93	0.965	0.940	0.884
k141_314	313	64.217	1.92	0.963	0.937	0.881
k141_764	312	64.423	2.22	0.959	0.938	0.870
k141_758	312	63.462	1.74	0.966	0.943	0.900
k141_584	312	66.346	2.55	0.946	0.922	0.868
k141_320	312	64.423	2.04	0.949	0.928	0.865
k141_313	312	65.385	1.69	0.959	0.923	0.854
k141_207	312	65.064	2.86	0.955	0.935	0.869
k141_172	312	76.282	1.65	0.879	0.848	0.803
k141_727	311	64.952	2.39	0.951	0.919	0.866
k141_489	311	68.167	2.75	0.912	0.879	0.830
k141_393	311	61.736	4.26	0.957	0.938	0.874
k141_383	311	59.807	1.90	0.968	0.943	0.892
k141_244	311	47.588	1.94	0.987	0.971	0.914
k141_203	311	37.621	1.56	0.954	0.933	0.880
k141_202	311	66.559	1.94	0.952	0.931	0.881
k141_155	311	68.489	1.66	0.939	0.916	0.864
k141_98	310	62.581	3.30	0.962	0.931	0.879
k141_80	310	62.903	1.77	0.956	0.935	0.873
k141_678	310	60.000	2.42	0.973	0.953	0.893
k141_665	310	71.935	2.38	0.917	0.892	0.838
k141_594	310	59.355	1.94	0.975	0.955	0.899
k141_37	310	61.613	2.20	0.975	0.957	0.895
k141_358	310	67.742	2.09	0.940	0.905	0.848
k141_144	310	67.742	2.85	0.941	0.919	0.864
k141_125	310	68.710	1.46	0.939	0.917	0.861
k141_84	309	68.932	1.79	0.932	0.907	0.847
k141_657	309	73.463	1.66	0.885	0.854	0.802
k141_562	309	65.696	1.95	0.954	0.937	0.873
k141_56	309	63.107	2.43	0.956	0.930	0.874
k141_556	309	63.107	2.34	0.960	0.935	0.873
k141_439	309	61.489	2.90	0.970	0.946	0.885
k141_406	309	67.314	1.95	0.936	0.917	0.874
k141_361	309	59.223	3.25	0.980	0.961	0.904
k141_286	309	65.696	2.44	0.952	0.928	0.868
k141_531	308	63.636	3.92	0.962	0.936	0.883
k141_474	308	70.779	2.06	0.912	0.883	0.829
k141_450	308	57.468	1.95	0.978	0.960	0.891
k141_424	308	66.234	2.36	0.941	0.916	0.866
k141_170	308	62.013	2.12	0.965	0.945	0.882
k141_163	308	66.883	2.21	0.944	0.922	0.872
k141_15	308	67.208	1.47	0.932	0.908	0.849
k141_134	308	68.506	1.63	0.928	0.902	0.853
k141_122	308	60.065	1.63	0.971	0.945	0.886
k141_104	308	65.260	1.81	0.954	0.933	0.875
k141_585	307	68.078	3.36	0.934	0.908	0.853
k141_515	306	76.471	1.14	0.873	0.844	0.798
k141_478	306	61.438	2.92	0.967	0.941	0.884
k141_449	306	73.856	1.48	0.894	0.871	0.824
k141_331	306	62.418	2.51	0.965	0.939	0.882
k141_285	306	70.261	1.71	0.926	0.908	0.855
k141_644	305	66.885	1.95	0.943	0.911	0.856
k141_571	305	68.852	1.98	0.923	0.892	0.836
k141_477	305	64.918	2.16	0.942	0.915	0.865
k141_376	305	65.574	2.19	0.948	0.927	0.874
k141_366	305	64.590	1.97	0.959	0.935	0.875
k141_354	305	61.639	1.72	0.967	0.937	0.893
k141_340	305	60.984	1.53	0.970	0.954	0.895
k141_238	305	59.672	1.39	0.968	0.946	0.891
k141_205	305	62.623	2.22	0.965	0.936	0.875
k141_740	304	59.539	2.19	0.980	0.958	0.890
k141_601	304	59.868	3.09	0.961	0.936	0.876
k141_546	304	68.421	2.86	0.929	0.903	0.852
k141_39	304	53.289	1.49	0.989	0.971	0.908
k141_345	304	65.461	1.67	0.944	0.920	0.870
k141_250	304	62.500	4.08	0.936	0.899	0.844
k141_128	304	66.447	2.26	0.951	0.928	0.868
k141_126	304	56.908	2.74	0.969	0.932	0.873
k141_721	303	64.026	2.87	0.958	0.939	0.878
k141_641	303	68.317	2.73	0.930	0.896	0.838
k141_636	303	66.667	4.60	0.938	0.912	0.863
k141_591	303	70.297	3.25	0.913	0.885	0.837
k141_58	303	63.696	1.72	0.959	0.923	0.866
k141_53	303	70.297	4.18	0.929	0.903	0.846
k141_517	303	66.007	4.02	0.942	0.922	0.863
k141_441	303	65.677	3.20	0.941	0.908	0.851
k141_330	303	65.347	1.94	0.952	0.926	0.856
k141_311	303	70.957	1.99	0.925	0.903	0.849
k141_121	303	66.007	1.97	0.958	0.938	0.881
k141_73	302	56.291	2.82	0.985	0.969	0.911
k141_681	302	61.258	3.22	0.959	0.937	0.873
k141_633	302	77.483	1.90	0.874	0.852	0.798
k141_603	302	41.391	2.20	0.951	0.912	0.845
k141_529	302	61.258	1.87	0.970	0.944	0.890
k141_392	302	60.927	2.98	0.963	0.932	0.865
k141_33	302	62.252	1.90	0.963	0.934	0.866
k141_263	302	63.576	2.07	0.946	0.919	0.858
k141_712	301	65.449	2.75	0.946	0.914	0.862
k141_663	301	60.797	2.98	0.970	0.940	0.880
k141_597	301	55.482	2.00	0.981	0.964	0.902
k141_224	301	62.126	2.43	0.965	0.935	0.880
k141_22	301	66.445	7.57	0.944	0.923	0.858
k141_783	297	68.687	0.68	0.910	0.868	0.794
k141_787	291	61.512	0.78	0.928	0.875	0.781
k141_786	270	69.630	1.11	0.926	0.868	0.771
