#Observation	name	definition	A.1	A.2	B.1	B.2
K04744	lptD, imp, ostA	LPS-assembly protein	4	3	2	1
K04748	norQ	nitric oxide reductase NorQ protein	1	3	4	4
K01515	nudF	ADP-ribose pyrophosphatase [EC:3.6.1.13]	1	1	2	1
K01512	acyP	acylphosphatase [EC:3.6.1.7]	4	4	6	2
K00868	pdxK, pdxY	pyridoxine kinase [EC:2.7.1.35]	4	2	4	1
K13628	iscA	iron-sulfur cluster assembly protein	5	1	3	2
K00860	cysC	adenylylsulfate kinase [EC:2.7.1.25]	7	19	16	14
K00865	glxK, garK	glycerate 2-kinase [EC:2.7.1.165]	2	5	10	7
K00864	glpK, GK	glycerol kinase [EC:2.7.1.30]	47	50	50	59
K00867	coaA	type I pantothenate kinase [EC:2.7.1.33]	13	7	7	8
K01192	E3.2.1.25, MANBA, manB	beta-mannosidase [EC:3.2.1.25]	3	7	3	1
K01190	lacZ	beta-galactosidase [EC:3.2.1.23]	3	5	3	4
K01194	TREH, treA, treF	alpha,alpha-trehalase [EC:3.2.1.28]	2	1	7	4
K06163	phnJ	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]	2	1	4	4
K22451	jgt	4-alpha-glucanotransferase [EC:2.4.1.25]	6	5	1	5
K01198	xynB	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	1	1	1	1
K00647	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	5	5	9	4
K01206	FUCA	alpha-L-fucosidase [EC:3.2.1.51]	7	6	3	4
K01207	nagZ	beta-N-acetylhexosaminidase [EC:3.2.1.52]	8	7	3	5
K01209	abfA	alpha-L-arabinofuranosidase [EC:3.2.1.55]	11	8	3	7
K20429	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]	1	1	1	1
K01428	ureC	urease subunit alpha [EC:3.5.1.5]	25	27	22	32
K01429	ureB	urease subunit beta [EC:3.5.1.5]	3	1	11	4
K00912	lpxK	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]	7	12	9	11
K01426	E3.5.1.4, amiE	amidase [EC:3.5.1.4]	9	9	10	14
K01425	glsA, GLS	glutaminase [EC:3.5.1.2]	8	5	4	6
K06287	maf	septum formation protein	12	17	18	18
K14287	ybdL	methionine transaminase [EC:2.6.1.88]	1	1	1	2
K03594	bfr	bacterioferritin [EC:1.16.3.1]	5	9	3	5
K03595	era, ERAL1	GTPase	19	21	17	17
K03596	lepA	GTP-binding protein LepA	63	61	79	65
K03590	ftsA	cell division protein FtsA	22	17	20	13
K02519	infB, MTIF2	translation initiation factor IF-2	85	73	66	65
K03593	mrp, NUBPL	ATP-binding protein involved in chromosome partitioning	18	37	24	21
K02510	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]	3	5	1	1
K01736	aroC	chorismate synthase [EC:4.2.3.5]	58	36	34	34
K01737	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	6	9	7	3
K01735	aroB	3-dehydroquinate synthase [EC:4.2.3.4]	34	34	24	25
K01733	thrC	threonine synthase [EC:4.2.3.1]	32	36	39	33
K01738	cysK	cysteine synthase [EC:2.5.1.47]	58	46	41	36
K01739	metB	cystathionine gamma-synthase [EC:2.5.1.48]	11	8	12	10
K12972	ghrA	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	3	1	1	3
K05343	treS	maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]	8	9	24	25
K02427	rlmE, rrmJ, ftsJ	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	8	9	1	4
K14753	RACK1	guanine nucleotide-binding protein subunit beta-2-like 1 protein	2	2	4	5
K02429	fucP	MFS transporter, FHS family, L-fucose permease	1	4	2	2
K02428	rdgB	XTP/dITP diphosphohydrolase [EC:3.6.1.66]	26	12	18	15
K03771	surA	peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]	10	3	4	4
K12373	HEXA_B	hexosaminidase [EC:3.2.1.52]	6	3	4	1
K12370	dppC	dipeptide transport system permease protein	8	8	8	7
K12371	dppD	dipeptide transport system ATP-binding protein	1	4	2	1
K02358	tuf, TUFM	elongation factor Tu	68	86	60	67
K01430	ureA	urease subunit gamma [EC:3.5.1.5]	3	4	5	3
K02355	fusA, GFM, EFG	elongation factor G	125	148	135	114
K02357	tsf, TSFM	elongation factor Ts	19	30	28	28
K02356	efp	elongation factor P	28	16	18	18
K16703	wcaL, amsK	colanic acid/amylovoran biosynthesis glycosyltransferase [EC:2.4.-.-]	1	1	1	2
K16871	POP2	4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]	4	4	5	3
K13574	hcxB	hydroxycarboxylate dehydrogenase B [EC:1.1.1.237 1.1.1.-]	1	3	1	1
K13571	pafA	proteasome accessory factor A [EC:6.3.1.19]	8	6	8	14
K19548	bacC	dihydroanticapsin dehydrogenase [EC:1.1.1.385]	1	4	1	1
K12340	tolC	outer membrane protein	1	2	6	1
K03177	truB, PUS4, TRUB1	tRNA pseudouridine55 synthase [EC:5.4.99.25]	19	28	25	24
K11951	cmpB	bicarbonate transport system permease protein	2	1	2	2
K01873	VARS, valS	valyl-tRNA synthetase [EC:6.1.1.9]	111	97	77	103
K12574	rnj	ribonuclease J [EC:3.1.-.-]	38	35	33	32
K18881	DJ1D	D-lactate dehydratase [EC:4.2.1.130]	1	1	1	5
K13889	gsiB	glutathione transport system substrate-binding protein	3	4	4	5
K12573	rnr, vacB	ribonuclease R [EC:3.1.13.1]	14	20	17	12
K18703	SUGCT	succinate---hydroxymethylglutarate CoA-transferase [EC:2.8.3.13]	15	18	6	14
K18702	uctC	CoA:oxalate CoA-transferase [EC:2.8.3.19]	11	10	5	8
K18707	mtaB	threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5]	7	6	2	6
K11004	hlyB, cyaB	ATP-binding cassette, subfamily B, bacterial HlyB/CyaB	6	6	9	4
K16055	TPS	trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]	2	3	1	2
K21393	yiaN	TRAP-type transport system large permease protein	8	1	2	2
K07219	K07219	putative molybdopterin biosynthesis protein	2	5	1	1
K15836	fhlA	formate hydrogenlyase transcriptional activator	5	7	4	10
K06180	rluD	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	26	21	24	10
K11717	sufS	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	42	47	42	36
K06187	recR	recombination protein RecR	20	18	23	18
K06188	aqpZ	aquaporin Z	11	8	5	5
K06189	corC	magnesium and cobalt transporter	9	13	10	6
K14682	argAB	amino-acid N-acetyltransferase [EC:2.3.1.1]	3	2	1	2
K07588	argK	LAO/AO transport system kinase [EC:2.7.-.-]	18	25	19	24
K10440	rbsC	ribose transport system permease protein	8	10	7	9
K10441	rbsA	ribose transport system ATP-binding protein [EC:7.5.2.7]	52	53	74	57
K11131	DKC1, NOLA4, CBF5	H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]	5	3	1	1
K05982	E3.1.21.7, nfi	deoxyribonuclease V [EC:3.1.21.7]	4	3	3	1
K10843	ERCC3, XPB	DNA excision repair protein ERCC-3 [EC:3.6.4.12]	1	1	5	4
K07107	ybgC	acyl-CoA thioester hydrolase [EC:3.1.2.-]	4	2	1	2
K07106	murQ	N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]	10	14	13	6
K07456	mutS2	DNA mismatch repair protein MutS2	25	12	16	10
K00672	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	3	6	1	6
K00674	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	14	13	17	11
K00677	lpxA	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	15	24	10	15
K06988	fno	8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]	5	4	1	2
K06989	nadX, ASPDH	aspartate dehydrogenase [EC:1.4.1.21]	4	2	4	4
K10536	aguA	agmatine deiminase [EC:3.5.3.12]	10	8	5	10
K10534	NR	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	2	1	1	6
K07694	vraR	two-component system, NarL family, vancomycin resistance associated response regulator VraR	5	4	8	5
K08299	caiD	crotonobetainyl-CoA hydratase [EC:4.2.1.149]	1	3	5	7
K02112	ATPF1B, atpD	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	67	68	66	50
K15012	regA, regR, actR	two-component system, response regulator RegA	5	7	4	4
K15013	ACSBG	long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3]	5	1	2	4
K02446	glpX	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	8	8	9	15
K15342	cas1	CRISP-associated protein Cas1	1	4	2	4
K01857	pcaB	3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]	4	5	8	9
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	1	1	4	4
K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]	2	5	1	6
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	20	17	22	13
K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	29	17	22	18
K07241	hoxN, nixA	nickel/cobalt transporter (NiCoT) family protein	8	7	13	5
K02291	crtB	15-cis-phytoene synthase [EC:2.5.1.32]	6	8	5	9
K07077	K07077	uncharacterized protein	4	1	7	7
K07071	K07071	uncharacterized protein	3	1	8	7
K18456	E3.5.4.32	8-oxoguanine deaminase [EC:3.5.4.32]	5	3	5	3
K08479	sasA	two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]	21	20	26	19
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	11	7	13	8
K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	31	14	34	33
K18459	gpuA	guanidinopropionase [EC:3.5.3.17]	1	3	2	1
K00451	HGD, hmgA	homogentisate 1,2-dioxygenase [EC:1.13.11.5]	7	9	13	13
K00452	HAAO	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	3	1	3	7
K00453	TDO2, kynA	tryptophan 2,3-dioxygenase [EC:1.13.11.11]	6	4	9	10
K00108	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]	36	42	52	40
K00109	L2HGDH	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	8	4	3	6
K00106	XDH	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	12	6	7	11
K00459	ncd2, npd	nitronate monooxygenase [EC:1.13.12.16]	8	5	6	4
K00104	glcD	glycolate oxidase [EC:1.1.3.15]	28	28	21	20
K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	8	11	11	8
K00103	GULO	L-gulonolactone oxidase [EC:1.1.3.8]	4	1	1	3
K00101	lldD	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	8	19	17	21
K00854	xylB, XYLB	xylulokinase [EC:2.7.1.17]	5	9	8	9
K00855	PRK, prkB	phosphoribulokinase [EC:2.7.1.19]	1	2	5	2
K00857	tdk, TK	thymidine kinase [EC:2.7.1.21]	6	6	1	6
K00850	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	10	14	13	6
K00851	E2.7.1.12, gntK, idnK	gluconokinase [EC:2.7.1.12]	1	2	3	5
K04759	feoB	ferrous iron transport protein B	13	10	11	4
K00853	araB	L-ribulokinase [EC:2.7.1.16]	8	7	6	2
K01505	E3.5.99.7	1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	3	3	5	6
K04755	fdx	ferredoxin, 2Fe-2S	4	3	1	2
K00858	ppnK, NADK	NAD+ kinase [EC:2.7.1.23]	29	23	17	17
K00859	coaE	dephospho-CoA kinase [EC:2.7.1.24]	10	13	9	8
K04751	glnB	nitrogen regulatory protein P-II 1	18	23	17	13
K22447	cct, ths	archaeal chaperonin	21	21	1	3
K01181	E3.2.1.8, xynA	endo-1,4-beta-xylanase [EC:3.2.1.8]	3	3	5	5
K01182	IMA, malL	oligo-1,6-glucosidase [EC:3.2.1.10]	1	2	9	4
K01187	malZ	alpha-glucosidase [EC:3.2.1.20]	2	8	5	10
K01188	E3.2.1.21	beta-glucosidase [EC:3.2.1.21]	4	2	2	5
K03610	minC	septum site-determining protein MinC	3	1	6	3
K01214	ISA, treX	isoamylase [EC:3.2.1.68]	12	9	17	25
K15724	erpA	iron-sulfur cluster insertion protein	5	3	2	4
K15726	czcA, cusA, cnrA	heavy metal efflux system protein	26	38	11	17
K21839	caa43	2-haloacrylate reductase [EC:1.3.1.103]	1	4	5	3
K07119	PTGR3, ZADH2	prostaglandin reductase 3 [EC:1.3.1.48]	5	5	4	9
K01439	dapE	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	16	25	26	13
K00925	ackA	acetate kinase [EC:2.7.2.1]	17	15	25	20
K00926	arcC	carbamate kinase [EC:2.7.2.2]	19	14	2	5
K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]	49	50	45	50
K00928	lysC	aspartate kinase [EC:2.7.2.4]	26	30	29	30
K01433	purU	formyltetrahydrofolate deformylase [EC:3.5.1.10]	6	7	5	10
K18285	mqnE	aminodeoxyfutalosine synthase [EC:2.5.1.120]	8	2	5	1
K05539	dusA	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	7	4	5	4
K00287	DHFR, folA	dihydrofolate reductase [EC:1.5.1.3]	1	2	1	1
K02986	RP-S4, rpsD	small subunit ribosomal protein S4	28	32	30	15
K02982	RP-S3, rpsC	small subunit ribosomal protein S3	32	28	16	28
K02635	petB	cytochrome b6	4	6	6	1
K02988	RP-S5, MRPS5, rpsE	small subunit ribosomal protein S5	18	18	18	14
K14520	hapE	4-hydroxyacetophenone monooxygenase [EC:1.14.13.84]	2	8	3	4
K19802	ycjG, ykfB	L-Ala-D/L-Glu epimerase [EC:5.1.1.20]	5	5	3	3
K02298	cyoB	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	7	7	9	11
K02299	cyoC	cytochrome o ubiquinol oxidase subunit III	1	1	1	1
K03581	recD	exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	8	6	10	11
K03580	hepA	ATP-dependent helicase HepA [EC:3.6.4.-]	2	1	4	3
K03587	ftsI	cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]	10	11	9	6
K03585	acrA, mexA, adeI, smeD, mtrC, cmeA	membrane fusion protein, multidrug efflux system	2	5	7	10
K03584	recO	DNA repair protein RecO (recombination protein O)	10	13	10	4
K02563	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	31	22	15	19
K03589	ftsQ	cell division protein FtsQ	8	3	6	2
K03588	ftsW, spoVE	cell division protein FtsW	22	25	14	16
K02566	nagD	NagD protein	2	1	4	2
K02567	napA	nitrate reductase (cytochrome) [EC:1.9.6.1]	9	6	7	3
K02564	nagB, GNPDA	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	5	5	5	7
K01725	cynS	cyanate lyase [EC:4.2.1.104]	1	4	2	5
K01724	PCBD, phhB	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	8	7	7	8
K01726	GAMMACA	gamma-carbonic anhydrase [EC:4.2.1.-]	1	5	4	4
K01720	prpD	2-methylcitrate dehydratase [EC:4.2.1.79]	8	9	7	8
K12960	mtaD	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	15	20	13	13
K02026	ABC.MS.P1	multiple sugar transport system permease protein	3	2	11	9
K02188	cbiD	cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]	1	3	5	3
K18199	inhA	cyclohexyl-isocyanide hydratase [EC:4.2.1.103]	1	1	3	2
K04652	hypB	hydrogenase nickel incorporation protein HypB	5	3	1	5
K12369	dppB	dipeptide transport system permease protein	9	8	8	6
K17828	pyrDI	dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]	27	17	14	20
K03767	PPIA	peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]	2	5	1	6
K00276	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]	3	4	1	2
K09457	queF	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	7	10	6	7
K09456	aidB	putative acyl-CoA dehydrogenase	3	6	5	6
K15778	pmm-pgm	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	5	8	5	4
K02160	accB, bccP	acetyl-CoA carboxylase biotin carboxyl carrier protein	8	8	10	5
K18334	fucD	L-fuconate dehydratase [EC:4.2.1.68]	2	6	19	8
K09458	fabF, OXSM, CEM1	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	58	56	50	53
K17647	VRDA	versiconal hemiacetal acetate reductase [EC:1.1.1.353]	6	4	3	5
K12658	lhpA	4-hydroxyproline epimerase [EC:5.1.1.8]	6	5	5	4
K13509	AGPAT1_2	lysophosphatidate acyltransferase [EC:2.3.1.51]	1	1	2	1
K13985	NAPEPLD	N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]	1	1	4	3
K03169	topB	DNA topoisomerase III [EC:5.6.2.1]	1	3	7	1
K03168	topA	DNA topoisomerase I [EC:5.6.2.1]	58	64	40	54
K06890	K06890	uncharacterized protein	1	4	2	1
K12297	rlmL, rlmK	23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]	8	8	4	2
K11921	cynR	LysR family transcriptional regulator, cyn operon transcriptional activator	2	4	2	3
K03768	PPIB, ppiB	peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]	5	3	4	6
K12035	TRIM71	tripartite motif-containing protein 71 [EC:2.3.2.27]	11	4	3	2
K03762	proP	MFS transporter, MHS family, proline/betaine transporter	5	4	5	8
K07263	pqqL	zinc protease [EC:3.4.24.-]	6	9	7	5
K07264	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]	2	3	1	1
K09812	ftsE	cell division transport system ATP-binding protein	3	1	2	4
K00574	cfa	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	12	10	12	14
K11729	ACAD10	acyl-CoA dehydrogenase family member 10	2	5	8	9
K06199	crcB, FEX	fluoride exporter	5	5	5	7
K06195	apaG	ApaG protein	5	4	2	6
K06190	ispZ	intracellular septation protein	3	4	4	4
K11103	dctA	aerobic C4-dicarboxylate transport protein	22	16	26	18
K01118	acpD, azoR	FMN-dependent NADH-azoreductase [EC:1.7.1.17]	1	1	5	11
K00666	K00666	fatty-acyl-CoA synthase [EC:6.2.1.-]	17	18	30	28
K20370	PEPCK	phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]	3	5	1	1
K06997	yggS, PROSC	PLP dependent protein	6	5	6	5
K06994	K06994	putative drug exporter of the RND superfamily	11	5	37	25
K06990	MEMO1	MEMO1 family protein	6	8	6	4
K07460	yraN	putative endonuclease	7	8	5	11
K07462	recJ	single-stranded-DNA-specific exonuclease [EC:3.1.-.-]	8	13	5	6
K06998	phzF	trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]	2	4	2	2
K07668	vicR	two-component system, OmpR family, response regulator VicR	31	30	34	25
K07669	mprA	two-component system, OmpR family, response regulator MprA	19	17	31	26
K07667	kdpE	two-component system, OmpR family, KDP operon response regulator KdpE	14	10	9	11
K07665	cusR, copR, silR	two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	6	7	5	5
K06445	fadE	acyl-CoA dehydrogenase [EC:1.3.99.-]	11	10	1	6
K06447	astD	succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]	1	5	4	2
K07486	K07486	transposase	14	5	28	26
K07484	K07484	transposase	5	2	8	4
K07481	K07481	transposase, IS5 family	3	2	3	3
K00590	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	5	2	4	3
K11212	cofD	LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]	7	10	9	7
K11216	lsrK	autoinducer-2 kinase [EC:2.7.1.189]	1	1	2	1
K00598	tam	trans-aconitate 2-methyltransferase [EC:2.1.1.144]	6	8	6	7
K02657	pilG	twitching motility two-component system response regulator PilG	1	1	2	1
K08726	EPHX2	soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]	1	2	1	4
K00060	tdh	threonine 3-dehydrogenase [EC:1.1.1.103]	28	30	21	26
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	5	5	9	5
K07001	K07001	NTE family protein	4	3	3	2
K07007	baiN	3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]	4	3	3	1
K08481	kaiB	circadian clock protein KaiB	1	2	2	1
K00872	thrB	homoserine kinase [EC:2.7.1.39]	2	8	6	3
K08269	ULK2, ATG1	serine/threonine-protein kinase ULK2 [EC:2.7.11.1]	1	1	2	2
K04102	pht5	4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55]	1	2	4	5
K21029	moeB	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	3	1	1	2
K00289	ALDH1L	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]	4	1	3	4
K04107	hcrC, hbaB	4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]	1	1	1	2
K04105	hbaA	4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]	4	9	4	4
K00285	dadA	D-amino-acid dehydrogenase [EC:1.4.5.1]	2	8	4	6
K00284	GLU, gltS	glutamate synthase (ferredoxin) [EC:1.4.7.1]	6	8	7	8
K04108	hcrA, hbaC	4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]	18	18	7	7
K00286	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	10	8	8	10
K00281	GLDC, gcvP	glycine dehydrogenase [EC:1.4.4.2]	24	32	21	24
K00283	gcvPB	glycine dehydrogenase subunit 2 [EC:1.4.4.2]	47	35	30	19
K00282	gcvPA	glycine dehydrogenase subunit 1 [EC:1.4.4.2]	29	36	14	25
K07716	pleC	two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]	2	10	7	2
K07714	atoC	two-component system, NtrC family, response regulator AtoC	2	2	1	5
K07712	glnG, ntrC	two-component system, NtrC family, nitrogen regulation response regulator GlnG	13	17	9	13
K07713	zraR, hydG	two-component system, NtrC family, response regulator HydG	17	15	11	8
K07710	atoS	two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]	2	5	4	3
K00448	pcaG	protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]	1	1	1	1
K00114	exaA	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	5	4	1	6
K00117	gcd	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	3	6	7	3
K00116	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]	1	5	7	6
K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	16	16	18	17
K02169	bioC	malonyl-CoA O-methyltransferase [EC:2.1.1.197]	4	1	1	1
K00840	astC	succinylornithine aminotransferase [EC:2.6.1.81]	8	5	4	8
K00847	E2.7.1.4, scrK	fructokinase [EC:2.7.1.4]	7	3	1	1
K00845	glk	glucokinase [EC:2.7.1.2]	1	7	6	3
K01531	mgtA, mgtB	P-type Mg2+ transporter [EC:7.2.2.14]	33	27	5	4
K00849	galK	galactokinase [EC:2.7.1.6]	7	11	9	11
K01533	copB	P-type Cu2+ transporter [EC:7.2.2.9]	7	6	4	5
K01534	zntA	Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]	7	7	2	3
K01535	PMA1, PMA2	H+-transporting ATPase [EC:7.1.2.1]	15	4	3	1
K01537	ATP2C	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	28	18	8	5
K22430	carC	caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]	6	2	2	1
K13503	trpEG	anthranilate synthase [EC:4.1.3.27]	3	4	5	6
K09181	yfiQ	acetyltransferase	5	3	1	4
K11177	yagR	xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]	2	3	5	12
K01880	GARS, glyS1	glycyl-tRNA synthetase [EC:6.1.1.14]	24	23	29	27
K01881	PARS, proS	prolyl-tRNA synthetase [EC:6.1.1.15]	65	57	58	66
K01883	CARS, cysS	cysteinyl-tRNA synthetase [EC:6.1.1.16]	57	60	41	43
K01885	EARS, gltX	glutamyl-tRNA synthetase [EC:6.1.1.17]	53	65	41	53
K01886	QARS, glnS	glutaminyl-tRNA synthetase [EC:6.1.1.18]	28	47	17	22
K01887	RARS, argS	arginyl-tRNA synthetase [EC:6.1.1.19]	53	52	39	43
K08591	plsY	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	12	8	8	6
K01889	FARSA, pheS	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	38	29	35	39
K01153	hsdR	type I restriction enzyme, R subunit [EC:3.1.21.3]	3	6	2	6
K01151	nfo	deoxyribonuclease IV [EC:3.1.21.2]	7	12	15	9
K01409	KAE1, tsaD, QRI7	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	48	45	23	21
K01159	ruvC	crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]	13	15	15	9
K00939	adk, AK	adenylate kinase [EC:2.7.4.3]	29	21	28	28
K00937	ppk	polyphosphate kinase [EC:2.7.4.1]	63	41	66	54
K00936	pdtaS	two-component system, sensor histidine kinase PdtaS [EC:2.7.13.3]	2	2	5	2
K00931	proB	glutamate 5-kinase [EC:2.7.2.11]	19	21	21	24
K00930	argB	acetylglutamate kinase [EC:2.7.2.8]	25	34	23	27
K05522	nei	endonuclease VIII [EC:3.2.2.- 4.2.99.18]	1	1	2	1
K05520	pfpI	protease I [EC:3.5.1.124]	5	5	6	5
K05524	fdxA	ferredoxin	6	9	9	8
K11178	yagS	xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]	2	2	9	11
K02621	parC	topoisomerase IV subunit A [EC:5.6.2.2]	16	11	13	12
K02992	RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7	16	25	16	15
K02622	parE	topoisomerase IV subunit B [EC:5.6.2.2]	12	24	16	16
K02996	RP-S9, MRPS9, rpsI	small subunit ribosomal protein S9	15	21	9	14
K02994	RP-S8, rpsH	small subunit ribosomal protein S8	17	15	11	15
K01082	cysQ, MET22, BPNT1	3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]	1	2	6	5
K19760	DAW1	dynein assembly factor with WDR repeat domains 1	4	11	8	9
K03578	hrpA	ATP-dependent helicase HrpA [EC:3.6.4.13]	1	4	2	8
K03579	hrpB	ATP-dependent helicase HrpB [EC:3.6.4.13]	5	6	5	1
K03574	mutT, NUDT15, MTH2	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	1	1	4	4
K03575	mutY	A/G-specific adenine glycosylase [EC:3.2.2.31]	18	11	8	6
